DATA;PDV; FANTASIA ;MODALIDADE;POPULAR;CDC;APROVADAS;NEGADAS;RESTRICOES;PENDENTE;CANCELADAS;PRÉ CADASTRO;TOTAL
05/12/2025;101307; DK MOTOS ;CDC;0;R$ 0,00;0;0;1;0;1;0;2
05/12/2025;101314; TEM TUDO CELULARES ;CDC;0;R$ 6.393,62;2;16;23;0;0;12;53
05/12/2025;101315; MODA LISS ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
05/12/2025;101316; CONSTRUBEM MATERIAIS PARA CONSTRUCAO - CAMPO NOVO ;CDC;0;R$ 0,00;0;0;0;0;1;1;2
05/12/2025;101320; BAHIA VARIEDADES ;CDC;0;R$ 0,00;0;1;2;0;0;0;3
08/12/2025;101331; GS IMPORTS STORE ;CDC;0;R$ 0,00;0;1;0;0;0;0;1
09/12/2025;101381; SOS CELULARES - ESPIGAO D OESTE ;CDC;0;R$ 0,00;0;2;0;0;0;0;2
09/12/2025;101384; TEM TUDO CELULARES - TANGARA DA SERRA ;CDC;0;R$ 0,00;0;5;0;0;0;2;7
09/12/2025;101387; TEM TUDO CELULARES - JUARA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
10/12/2025;101407; MH CELL - SAO PAULO ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
12/12/2025;101484; PIMENTA CELL ;CDC;0;R$ 0,00;0;1;11;0;0;1;13
18/12/2025;101607; BUENO STORE ;POPULAR;0;R$ 0,00;0;1;0;0;0;0;1
18/12/2025;101633; IMPORTS MULTIMARCAS - FILIAL 2 ;POPULAR;0;R$ 0,00;0;1;4;0;0;0;5
22/12/2025;101683; ELETROCELL - RONDONOPOLIS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
05/01/2026;101877;" ""+ CASE"" ";CDC;0;R$ 778,50;1;7;14;0;1;1;24
